setup,table,source,md5,shape,n_subjects,n_features_kept,n_features_dropped,id_column,id_caught_by_regex,sneaky_variants,arm_columns,rho_id_target,p_id_target,rho_id_arm,p_id_arm,verdict,reason,notes
1-BMD (Biomni A10G),c11_totalhipBMD_change_features_all.csv,zip: Biomni_lab_downloads_20260803_191044/tfm_c11_totalhipBMD/,ffd3c4fec75ab2d627985e03c162dddb,38 x 630 (index_col=0 → 38 x 629),38,628,0,subject (DataFrame index),N/A — index_col=0 makes subject the index,None,None in table,-0.018,0.914,0.163,0.329,CLEAN,Subject is DataFrame index (index_col=0); X = df.drop(target).values excludes it by construction,"Script: run_tfm_modeling.py line 266-267. No unnamed cols, no sneaky variants."
2-Colab (Colab T4),"c11_totalfat_pct_change_features_all.csv [v1, USED]",zip: files (1)/ (also identical copy in files/),3ef0d1e9337ff13f4a31903d3922a6d8,38 x 456,38,226,228,subject,"Yes — ID_PAT catches ""subject""",None,None,0.112,0.503,0.163,0.329,CLEAN,"Subject caught by ID_PAT regex, dropped before X construction. 456 = 226 kept + 228 dropped + 1 outcome + 1 subject.","Script: run_tabpfn3_c11.py line 215-216. No unnamed, no numeric-named, no arm cols."
2-Colab (Colab T4),"c11_totalfat_pct_change_features_all.csv [v2, NOT used]",zip: files (2)/,5f4465c9180fc1dfee4ac6026dc88c80,38 x 447,38,219,226,subject,Yes — but table does NOT reconcile with JSON,None,None,,,,,VERSION MISMATCH,447 cols ≠ 456 expected. Computed 219 kept vs JSON 226. Later revision NOT used for the run.,Flagged so nobody accidentally uses v2 thinking it is the run table.
2-Colab (Colab T4),c11_twp_change_features_all.csv,zip: files (2)/,c582444131fc277b708f24ca7fc45f10,35 x 537,35,235,300,subject,"Yes — ID_PAT catches ""subject""",None,None,-0.073,0.676,0.18,0.301,CLEAN,"Subject caught by ID_PAT regex, dropped before X construction. 537 = 235 kept + 300 dropped + 1 outcome + 1 subject.","Script: run_tabpfn3_c11.py line 215-216. No unnamed, no numeric-named, no arm cols."
2-Colab (Colab T4),c11_poscontrol_features_all.csv,NOT IN ZIP,N/A,N/A,38,226,228,Unknown (table not in archive),Cannot verify,Cannot verify,Cannot verify,,,,,CANNOT VERIFY,Feature table CSV not in archive. Only summary JSON + predictions survive.,"Mitigating: feature counts match fat (226/228), subject roster in predictions matches fat (same 38 IDs), script logic verified from fat/tandem. Synthetic outcome not an ID-leak vector."
2-Colab (Colab T4),c11_negcontrol_features_all.csv,NOT IN ZIP,N/A,N/A,38,226,228,Unknown (table not in archive),Cannot verify,Cannot verify,Cannot verify,,,,,CANNOT VERIFY,Feature table CSV not in archive. Only summary JSON + predictions survive.,"Mitigating: feature counts match fat (226/228), subject roster in predictions matches fat (same 38 IDs), script logic verified from fat/tandem. Synthetic outcome not an ID-leak vector."
3-9Endpoint (Biomni A10G),wide_ftt_egress_time.csv,repo: data/wide_tables/,036cbf078eaeb1eac197f0769fbf862c,35 x 13,35,8,0,subject_id (not in PRE_FEATURES allowlist),N/A — explicit allowlist of 8 PRE_FEATURES,"subject_uid string (not in allowlist, not caught by ID_PAT, but never used as feature)",arm (not in allowlist),,,,,CLEAN,"Sparse path: X = df[PRE_FEATURES].values — explicit allowlist of 8 columns. subject_id, subject_uid, campaign, arm all excluded by allowlist construction.",Script: run_9endpoint_reconstructed.py line 115.
3-9Endpoint (Biomni A10G),wide_jump_max_power.csv,repo: data/wide_tables/,82bd235c6e632d14c708c578df7ff09c,36 x 13,36,8,0,subject_id (not in PRE_FEATURES allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_lv_mass.csv,repo: data/wide_tables/,3d7227f1b0507a87aa60a53642d5679f,36 x 13,36,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_mri_quadriceps.csv,repo: data/wide_tables/,be28d7da124fad0102f74f29c6bce137,26 x 13,26,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_ogtt_glucose.csv,repo: data/wide_tables/,beb72ed6400f492994b9d4de1d639ec3,24 x 13,24,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_plasma_volume.csv,repo: data/wide_tables/,f35eedf9a5391304891178c13e65b3f2,55 x 13,55,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_spine_bmd_l14.csv,repo: data/wide_tables/,ea7144c672cdbd1b1a7bfa80ba5c8ad7,63 x 13,63,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),wide_total_hip_bmd.csv,repo: data/wide_tables/,92977004c79735127a15b3a8f37e4b6f,54 x 13,54,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist. Also used as target source for rich path.,
3-9Endpoint (Biomni A10G),wide_vo2peak_rel.csv,repo: data/wide_tables/,617fe46ad7cbd9d19503dd7fc70127e9,51 x 13,51,8,0,subject_id (not in allowlist),N/A — explicit allowlist,subject_uid (not in allowlist),arm (not in allowlist),,,,,CLEAN,Sparse path: explicit PRE_FEATURES allowlist.,
3-9Endpoint (Biomni A10G),c11_totalhipBMD_change_features_all.csv [rich path],repo: data/ (same file as Setup 1),ffd3c4fec75ab2d627985e03c162dddb,38 x 630 (index_col=0 → 38 x 629),38,628,0,subject (excluded by explicit drop list),"N/A — explicit exclusion: feat_cols = [c for c in bmd.columns if c not in [""subject"", ""totalhip_BMD_change""]]",None — BMD table has no subject_uid/campaign/arm columns,None in BMD table,-0.018,0.914,0.163,0.329,CLEAN,Rich path: feat_cols excludes subject + target by name. BMD table has no arm/campaign/subject_uid. Original run_rich2.py LOST — verified via reconstruction script.,"Script: run_9endpoint_reconstructed.py line 125. Rich XGBoost cells NON-VERIFIED (Spearman differs by 0.443, attributed to XGBoost version)."
