ProbeID	GeneSymbol
ILMN_1762337	MACC1
ILMN_1779670	A1CF
ILMN_1806310	A1CF
ILMN_1671474	POTEA
ILMN_1772582	POTEB3
ILMN_1653355	POTEH
ILMN_1787689	RBFOX1
ILMN_1731507	RBFOX1
ILMN_1814316	RBFOX1
ILMN_1745607	A2M
ILMN_1757454	A2ML1
ILMN_1735045	A4GALT
ILMN_1680754	A4GNT
ILMN_1659452	NPSR1-AS1
ILMN_1755321	AAAS
ILMN_1698554	AACS
ILMN_1814092	AACSP1
ILMN_1805938	AADAC
ILMN_1676336	NCEH1
ILMN_1752884	AADACL2
ILMN_1668851	AADACL4
ILMN_1809959	AADAT
ILMN_1801812	AADAT
ILMN_1726986	AADAT
ILMN_1653165	AAMP
ILMN_1729835	AANAT
ILMN_1662364	AARS1
ILMN_1700461	PTGES3L-AARSD1
ILMN_1674698	AARS2
ILMN_1784269	AASDH
ILMN_1698189	AASDHPPT
ILMN_1678323	AASS
ILMN_1703743	AATF
ILMN_1687609	AATK
ILMN_1670117	ABAT
ILMN_1805104	ABAT
ILMN_1791106	HEATR6
ILMN_1766054	ABCA1
ILMN_1753388	ABCA10
ILMN_1738929	ABCA11P
ILMN_1701642	ABCA12
ILMN_1750250	ABCA12
ILMN_1704579	ABCA13
ILMN_1747627	ABCA2
ILMN_1687636	ABCA2
ILMN_1742051	ABCA3
ILMN_1794965	ABCA4
ILMN_1722286	ABCA5
ILMN_1784176	ABCA5
ILMN_1749001	ABCA5
ILMN_1701551	ABCA6
ILMN_1701011	ABCA6
ILMN_1729894	ABCA7
ILMN_1743205	ABCA7
ILMN_1796801	ABCA8
ILMN_1668446	ABCA9
ILMN_1720501	ABCA9
ILMN_1812070	ABCB1
ILMN_1665730	ABCB10
ILMN_1689082	ABCB11
ILMN_1767349	ABCB4
ILMN_1749902	ABCB5
ILMN_1653933	ABCB6
ILMN_1687840	ABCB7
ILMN_1806676	ABCB8
ILMN_1666722	ABCB9
ILMN_1802404	ABCC1
ILMN_1776119	ABCC10
ILMN_1716604	ABCC11
ILMN_1732140	ABCC11
ILMN_1762093	ABCC12
ILMN_1709092	ABCC13
ILMN_1783691	ABCC13
ILMN_1780706	ABCC2
ILMN_1677814	ABCC3
ILMN_1788457	ABCC4
ILMN_1706531	ABCC5
ILMN_1720535	ABCC5
ILMN_1651964	ABCC5
ILMN_1778352	ABCC6
ILMN_1801521	ABCC6
ILMN_1725675	ABCC6
ILMN_1725414	ABCC6
ILMN_1767129	ABCC8
ILMN_1746196	ABCC9
ILMN_1673243	ABCC9
ILMN_1772189	ABCD1
ILMN_1652959	ABCD2
ILMN_1674032	ABCD3
ILMN_1717701	ABCD4
ILMN_1676846	ABCE1
