Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Feeding Schedule]	Characteristics[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[Enrichment material]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[Euthanasia Date]
RRRM-2_FL_ISS_14	RRRM2_BRN_FLT_ISS-T_OLD_FO14	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A180C12	18-Sep-2019
RRRM-2_FL_ISS_16	RRRM2_BRN_FLT_ISS-T_OLD_FO16	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27313758	19-Sep-2019
RRRM-2_FL_ISS_17	RRRM2_BRN_FLT_ISS-T_OLD_FO17	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E353B735A	19-Sep-2019
RRRM-2_FL_ISS_19	RRRM2_BRN_FLT_ISS-T_OLD_FO19	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D2C2D2C	19-Sep-2019
RRRM-2_FL_ISS_20	RRRM2_BRN_FLT_ISS-T_OLD_FO20	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E272D285A	19-Sep-2019
RRRM-2_FL_ISS_02	RRRM2_BRN_FLT_ISS-T_YNG_FY2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	20	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E394B6C23	16-Sep-2019
RRRM-2_FL_ISS_05	RRRM2_BRN_FLT_ISS-T_YNG_FY5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	20	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3E102A12	16-Sep-2019
RRRM-2_FL_ISS_07	RRRM2_BRN_FLT_ISS-T_YNG_FY7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	20	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3E325E7C	17-Sep-2019
RRRM-2_FL_ISS_08	RRRM2_BRN_FLT_ISS-T_YNG_FY8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	20	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Cryochiller	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3C42091B	17-Sep-2019
RRRM-2_HGC_ISS_13	RRRM2_BRN_GC_ISS-T_OLD_GO13	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	OSD	https://osdr.nasa.gov/	29	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	Hut	53	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light/dark cycle	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3A3C1239	19-Sep-2019
