Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Enrichment material]	Parameter Value[light cycle]	Parameter Value[Euthanasia Method]	Parameter Value[Carcass Preservation Method]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[ALSDA Subject ID]	Comment[Euthanasia Date]	Comment[Euthanasia Time (hh:mm:ss)]	Comment[Body Weight at Euthanasia]	Comment[BSP Dissection Date]	Comment[Source Description]	Comment[Partial Body Weight on BSP Dissection Date]
RR-10_FL-01	RR10_BRN_FLT_WT_F1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3B7A3143	799	02-Jan-2021	09:34:00 GMT	Not Available	12-May-2021	Frozen carcass dissected on Earth post-flight	18.98 gram
RR-10_FL-03	RR10_BRN_FLT_WT_F3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D711909	799	02-Jan-2021	10:35:00 GMT	Not Available	12-May-2021	Frozen carcass dissected on Earth post-flight	19.32 gram
RR-10_FL-05	RR10_BRN_FLT_WT_F5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D657F3D	799	02-Jan-2021	11:18:00 GMT	Not Available	12-May-2021	Frozen carcass dissected on Earth post-flight	19.98 gram
RR-10_FL-07	RR10_BRN_FLT_WT_F7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D710131	799	02-Jan-2021	13:26:00 GMT	Not Available	12-May-2021	Frozen carcass dissected on Earth post-flight	19.87 gram
RR-10_FL-09	RR10_BRN_FLT_WT_F9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E36781618	799	02-Jan-2021	14:09:00 GMT	Not Available	12-May-2021	Frozen carcass dissected on Earth post-flight	21.45 gram
RR-10_GC-01	RR10_BRN_GC_WT_G1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Ground Control	OSD	https://osdr.nasa.gov/	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3B32156C	800	05-Jan-2021	04:34:00 EST	25.61 gram	14-May-2021	Frozen carcass dissected on Earth post-flight	Not Available
RR-10_GC-03	RR10_BRN_GC_WT_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Ground Control	OSD	https://osdr.nasa.gov/	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E37564D01	800	05-Jan-2021	05:34:00 EST	23.66 gram	14-May-2021	Frozen carcass dissected on Earth post-flight	Not Available
RR-10_GC-05	RR10_BRN_GC_WT_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Ground Control	OSD	https://osdr.nasa.gov/	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3C500B24	800	05-Jan-2021	06:18:00 EST	23.68 gram	14-May-2021	Frozen carcass dissected on Earth post-flight	Not Available
RR-10_GC-07	RR10_BRN_GC_WT_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Ground Control	OSD	https://osdr.nasa.gov/	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E37071254	800	05-Jan-2021	08:26:00 EST	21.28 gram	14-May-2021	Frozen carcass dissected on Earth post-flight	Not Available
RR-10_GC-09	RR10_BRN_GC_WT_G9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	B6129SF2/J	OSD	https://osdr.nasa.gov/	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Left cerebral hemisphere	FMA	http://purl.org/sig/ont/fma/fma61819	Ground Control	OSD	https://osdr.nasa.gov/	14 - 15	week	UO	http://purl.obolibrary.org/obo/UO_0000034	18 -19	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	Rodent Flight Hardware (Transporter and Habitat)	28	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cocoons	12 h light/dark cycle, lights on at 7:00 GMT	Bilateral thoracotomy with sedation, Ketamine/xylazine injection	Cryochiller	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E3D552B5B	800	05-Jan-2021	09:10:00 EST	22.81 gram	14-May-2021	Frozen carcass dissected on Earth post-flight	Not Available
